Izglītības iestāde,Liepupes vidusskola,"Ezera iela 2, Liepupe, Liepupes pag., Salacgrīvas nov., LV-4023"
Izglītības iestāde,Pļaviņu novada ģimnāzija,"Daugavas iela 101, Pļaviņas, Pļaviņu nov., LV-5120"
Izglītības iestāde,Kokneses internātpamatskola - attīstības centrs,"Kokneses speciālā internātskola, Bormaņi, Kokneses pag., Kokneses nov., LV-5113"
Izglītības iestāde,Bebru pamatskola,"Bebru pamatskola, Vecbebri, Bebru pag., Kokneses nov., LV-5135"
Izglītības iestāde,"Privātā sākumskola ""Domdaris""","Dzirnavu iela 29, Rīga, LV-1010"
Izglītības iestāde,Rīgas 63. vidusskola,"Baltezera iela 6, Rīga, LV-1024"
Izglītības iestāde,Rīgas Raiņa 8. vakara (maiņu) vidusskola,"Krišjāņa Barona iela 71, Rīga, LV-1001"
Izglītības iestāde,Rīgas Teikas vidusskola,"Aizkraukles iela 14, Rīga, LV-1006"
Izglītības iestāde,Rīgas Kultūru vidusskola,"Ganību dambis 7, Rīga, LV-1045"
Izglītības iestāde,Rīgas Stila un Modes tehnikums,"Ūdeļu iela 22, Rīga, LV-1064"
Izglītības iestāde,Ziemeļvalstu ģimnāzija,"Paula Lejiņa iela 12, Rīga, LV-1029"
Izglītības iestāde,Daugavpils Valsts ģimnāzija,"Cietokšņa iela 33, Daugavpils, LV-5401"
Izglītības iestāde,Naujenes pamatskola,"Stacijas iela 8, Naujene, Naujenes pag., Daugavpils nov., LV-5462"
Izglītības iestāde,Krāslavas Varavīksnes vidusskola,"N. Rancāna iela 4, Krāslava, Krāslavas nov., LV-5601"
Izglītības iestāde,J. Raiņa Daugavpils 6. vidusskola,"Komunālā iela 2, Daugavpils, LV-5418"
Izglītības iestāde,Daugavpils Stropu pamatskola - attīstības centrs,"Abavas iela 1, Daugavpils, LV-5417"
Izglītības iestāde,Ilūkstes 1. vidusskola,"Raiņa iela 49A, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Dagdas vidusskola,"Mičurina iela 3A, Dagda, Dagdas nov., LV-5674"
Izglītības iestāde,Daugavpils 3. vidusskola,"Raiņa iela 30, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils Vienības pamatskola,"Ģimnāzijas iela 32, Daugavpils, LV-5401"
Izglītības iestāde,Rēzeknes tehnikums,"Varoņu iela 11A, Rēzekne, LV-4604"
Izglītības iestāde,Daugavpils 4. speciālā pirmsskolas izglītības iestāde,"Mihoelsa iela 4, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils Būvniecības tehnikums,"Jātnieku iela 87, Daugavpils, LV-5410"
Izglītības iestāde,Robežnieku pamatskola,"Pils iela 2, Krāslava, Krāslavas nov., LV-5601"
Izglītības iestāde,Rīgas 6. vidusskola,"Aleksandra Čaka iela 102, Rīga, LV-1011"
Izglītības iestāde,Rīgas 84. vidusskola,"Lielvārdes iela 141, Rīga, LV-1082"
Izglītības iestāde,Ogres sākumskola,"Meža prospekts 14, Ogre, Ogres nov., LV-5001"
Izglītības iestāde,Rīgas 1. speciālā internātpamatskola,"Ģertrūdes iela 18, Rīga, LV-1011"
Izglītības iestāde,Jelgavas 4. vidusskola,"Akmeņu iela 1, Jelgava, LV-3004"
Izglītības iestāde,Lielupes pamatskola,"Aizputes iela 1A, Jūrmala, LV-2010"
Izglītības iestāde,Kārsavas vidusskola,"Vienības iela 101, Kārsava, Kārsavas nov., LV-5717"
Izglītības iestāde,Rīgas Angļu ģimnāzija,"Zvārdes iela 1, Rīga, LV-1004"
Izglītības iestāde,Rīgas 3. speciālā pamatskola,"Telts iela 2A, Rīga, LV-1004"
Izglītības iestāde,Salaspils 1. vidusskola,"Lauku iela 1, Salaspils, Salaspils nov., LV-2121"
Izglītības iestāde,Rīgas Mākslas un mediju tehnikums,"Jūrmalas gatve 96, Rīga, LV-1029"
Izglītības iestāde,Jēkabpils 3. vidusskola,"Slimnīcas iela 5, Jēkabpils, LV-5202"
Izglītības iestāde,Jūrmalas Valsts ģimnāzija / Mežmalas vidusskola,"Raiņa iela 55, Jūrmala, LV-2011"
Izglītības iestāde,Zantes pamatskola,"Skolas iela 14, Zante, Zantes pag., Kandavas nov., LV-3134"
Izglītības iestāde,Rīgas 10. vidusskola,"Lenču iela 1, Rīga, LV-1010"
Izglītības iestāde,Rīgas Tehniskā koledža,"Braslas iela 16, Rīga, LV-1084"
Izglītības iestāde,Mārupes vidusskola,"Kantora iela 97, Mārupe, Mārupes nov., LV-2167"
Izglītības iestāde,Rīgas Igauņu pamatskola,"Atgāzenes iela 26, Rīga, LV-1004"
Izglītības iestāde,Aizputes vidusskola,"Ziedu iela 7, Aizpute, Aizputes nov., LV-3456"
Izglītības iestāde,Rīgas Purvciema vidusskola,"Detlava Brantkalna iela 5, Rīga, LV-1082"
Izglītības iestāde,Īslīces vidusskola,"Skolas iela 1, Bērzi, Īslīces pag., Bauskas nov., LV-3914"
Izglītības iestāde,Engures vidusskola,"Skolas iela 7, Engure, Engures pag., Engures nov., LV-3113"
Izglītības iestāde,"Privātā vidusskola ""Patnis""","Gregora iela 13A, Rīga, LV-1046"
Izglītības iestāde,Ludzas pilsētas ģimnāzija,"Blaumaņa iela 4, Ludza, Ludzas nov., LV-5701"
Izglītības iestāde,Jūrmalas vakara vidusskola,"Lielupes iela 21, Jūrmala, LV-2015"
Izglītības iestāde,Iecavas internātpamatskola,"Skolas iela 19, Iecava, Iecavas nov., LV-3913"
Izglītības iestāde,Majoru vidusskola,"Rīgas iela 3, Jūrmala, LV-2015"
Izglītības iestāde,Rīgas Sanatorijas internātpamatskola,"Brīvības gatve 384A, Rīga, LV-1006"
Izglītības iestāde,Rīgas 49. vidusskola,"Krišjāņa Valdemāra iela 65, Rīga, LV-1010"
Izglītības iestāde,Carnikavas pamatskola,"Nākotnes iela 1, Carnikava, Carnikavas nov., LV-2163"
Izglītības iestāde,Rīgas 46. vidusskola,"Skuju iela 28, Rīga, LV-1015"
Izglītības iestāde,Zaķumuižas pamatskola,"Skolas iela 3, Zaķumuiža, Ropažu nov., LV-2133"
Izglītības iestāde,Š. Dubnova Rīgas Ebreju vidusskola,"Miera iela 62, Rīga, LV-1013"
Izglītības iestāde,Mērsraga vidusskola,"Skolas iela 8, Mērsrags, Mērsraga nov., LV-3284"
Izglītības iestāde,Jāņa Eglīša Preiļu Valsts ģimnāzija,"Kooperatīvā iela 6, Preiļi, Preiļu nov., LV-5301"
Izglītības iestāde,Priekuļu tehnikums,"Egļu gatve 9, Priekuļi, Priekuļu pag., Priekuļu nov., LV-4126"
Izglītības iestāde,Vaivaru pamatskola,"Skautu iela 2, Jūrmala, LV-2008"
Izglītības iestāde,Daugavpils Centra vidusskola,"Kandavas iela 17, Daugavpils, LV-5401"
Izglītības iestāde,Lāču pamatskola,"Muzeja iela 2, Lociki, Naujenes pag., Daugavpils nov., LV-5458"
Izglītības iestāde,Daugavpils 11. pamatskola,"Arhitektu iela 10, Daugavpils, LV-5410"
Izglītības iestāde,Daugavpils pilsētas 24. pirmsskolas izglītības iestāde,"Muzeja iela 9, Daugavpils, LV-5401"
Izglītības iestāde,Daugavpils 13. vidusskola,"Valkas iela 4A, Daugavpils, LV-5417"
Izglītības iestāde,Rīgas 45. vidusskola,"Ropažu iela 34, Rīga, LV-1039"
Izglītības iestāde,Rīgas Valsts vācu ģimnāzija,"Āgenskalna iela 21, Rīga, LV-1048"
Izglītības iestāde,Ilūkstes Raiņa vidusskola,"Raiņa iela 49, Ilūkste, Ilūkstes nov., LV-5447"
Izglītības iestāde,Rīgas Valsts tehnikums,"Krišjāņa Valdemāra iela 1C, Rīga, LV-1010"
Izglītības iestāde,Kauguru vidusskola,"Raiņa iela 118, Jūrmala, LV-2016"
Izglītības iestāde,Daugavpils 9. vidusskola,"18. novembra iela 47, Daugavpils, LV-5401"
Izglītības iestāde,Rīgas Mūzikas internātvidusskola,"Kalnciema iela 160, Rīga, LV-1046"
Izglītības iestāde,Zvejniekciema vidusskola,"Atpūtas iela 1, Zvejniekciems, Saulkrastu pag., Saulkrastu nov., LV-2161"
Izglītības iestāde,Rīgas 9. vakara (maiņu) vidusskola,"Stāmerienas iela 8, Rīga, LV-1006"
Izglītības iestāde,Rīgas Centra daiļamatniecības pamatskola,"Aspazijas bulvāris 34, Rīga, LV-1050"
Izglītības iestāde,Kandavas Lauksaimniecības tehnikums,"Valteru iela 6, Kandava, Kandavas nov., LV-3120"
Izglītības iestāde,Rīgas 14. vakara (maiņu) vidusskola,"Margrietas iela 4, Rīga, LV-1046"
Izglītības iestāde,Rīgas 33. vidusskola,"Stūrmaņu iela 23, Rīga, LV-1016"
Izglītības iestāde,"Limbažu pilsētas 3. pirmsskolas izglītības iestāde  ""Spārīte""","Dārza iela 24, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Limbažu sākumskola,"Rīgas iela 28, Limbaži, Limbažu nov., LV-4001"
Izglītības iestāde,Umurgas pamatskola,"Skolas iela 8A, Umurga, Umurgas pag., Limbažu nov., LV-4004"
Izglītības iestāde,Limbažu un Salacgrīvas novadu sporta skola,"Parka iela 36, Limbaži, Limbažu nov., LV-4001"
